Company1,Company2,Value
1,1,1.0
1,2,0.6980167111935908
1,3,0.40657196836394033
1,4,0.1622499622913446
1,5,0.15602696194646606
1,6,0.6952066127907915
1,7,0
1,8,0
1,9,-0.8750663860146605
1,10,0.1319728352910318
1,11,0
1,12,0
1,13,-0.509921509773574
1,14,-0.13397451727292845
1,15,0.5441828015091886
1,16,-0.06772970271385462
1,17,0.777805749507461
1,18,-0.3774183118950743
1,19,-0.3774183118950743
1,20,-0.49518795330475845
1,21,-0.42282521377322163
1,22,-0.5851489741076319
1,23,0.6782243219594396
1,24,0.6260543855662632
1,25,0.6260543855662632
1,26,-0.583641039085118
1,27,-0.20260539829457874
1,28,-0.2966209908453257
1,29,0.6937360786011236
1,30,0.03928532879349899
2,1,0.6980167111935907
2,2,1.0
2,3,0.4105612315812679
2,4,0.003601837834166041
2,5,0.02313768033716464
2,6,0.5419796484161982
2,7,0
2,8,0
2,9,-0.7048729060197022
2,10,0.15164002144773223
2,11,0
2,12,0
2,13,-0.6249860965599137
2,14,-0.29663328105062714
2,15,0.6917120960997096
2,16,-0.0630825137595444
2,17,0.7980887844574053
2,18,-0.3381738027682456
2,19,-0.3381738027682456
2,20,-0.2804937475824072
2,21,-0.34047191182886094
2,22,-0.6040549680975856
2,23,0.7546093455579825
2,24,0.4760001369521772
2,25,0.4760001369521772
2,26,-0.32692025737479297
2,27,-0.1566244614317313
2,28,-0.2621823685169777
2,29,0.797205711709164
2,30,-0.19434367046150083
3,1,0.40657196836394044
3,2,0.41056123158126784
3,3,1.0
3,4,0.603872642112508
3,5,0.6413012413153842
3,6,0.48147671154295374
3,7,0
3,8,0
3,9,-0.3037537216316591
3,10,0.841704414993138
3,11,0
3,12,0
3,13,-0.06498696736821258
3,14,0.2803923298416034
3,15,-0.007687520897904101
3,16,-0.0504282582749091
3,17,0.34066073215982234
3,18,-0.2670641548569097
3,19,-0.2670641548569097
3,20,-0.3016749714392725
3,21,-0.28803672528219854
3,22,-0.1434998035857789
3,23,0.15736908293628654
3,24,0.8399912509868708
3,25,0.8399912509868708
3,26,-0.36254517204502973
3,27,-0.15247386437737345
3,28,-0.21216213530427014
3,29,0.291080146837772
3,30,0.16964042619289946
4,1,0.1622499622913446
4,2,0.003601837834166041
4,3,0.603872642112508
4,4,1.0
4,5,0.4867848900194395
4,6,0.2973821116289993
4,7,0
4,8,0
4,9,-0.10364938371422744
4,10,0.5860726497885784
4,11,0
4,12,0
4,13,0.26865488028064827
4,14,0.5741226953264267
4,15,-0.36294902600268597
4,16,-0.05815817420814447
4,17,0.09303289876138685
4,18,-0.31157901259642623
4,19,-0.31157901259642623
4,20,-0.3611979906745301
4,21,-0.3460541281748612
4,22,0.1644358156094687
4,23,-0.17924369567362333
4,24,0.6298055152082158
4,25,0.6298055152082158
4,26,-0.4018132220770441
4,27,-0.17250302973938683
4,28,-0.2422002951441146
4,29,0.010892397445375441
4,30,0.39706673079309973
