averageRating,numVotes
7.3,22033
6.9,16546
7.2,12105
7.6,25949
8.1,19686
6.7,14617
7.1,45829
7.8,17914
7.4,10213
7.2,83643
8.5,25455
6.5,10807
7.9,16338
7.9,13026
7.5,15350
7.3,11780
7.8,11288
7.7,19357
7.8,20884
7.8,12973
7.6,12572
8.0,18110
7.2,10299
7.7,162857
7.6,38011
7.6,11926
8.0,13647
7.2,41853
7.8,149043
7.0,11388
7.8,82142
7.6,10162
8.0,14350
7.8,21495
8.0,184591
8.1,24475
2.7,10476
7.9,11853
7.5,24216
8.5,15614
6.9,16149
7.7,34121
8.2,10229
7.4,11993
8.4,15049
7.2,21135
8.1,49017
6.8,13893
6.8,12566
8.3,29676
7.3,14357
8.0,66230
6.7,13059
7.5,18020
7.6,10655
7.2,15210
7.2,16378
7.9,11365
7.2,12974
8.6,11024
8.3,216153
7.6,26381
7.7,45512
7.2,13505
8.0,191668
7.6,13568
7.0,98556
7.8,13092
7.1,12044
7.5,17581
8.3,68578
7.1,12797
8.2,41501
7.9,16059
6.5,28368
7.6,52572
8.8,647917
7.1,10843
7.2,23134
8.3,42606
7.2,39296
6.8,16189
7.3,11801
8.0,14748
7.6,22996
8.2,15196
7.7,29115
1.9,33999
7.6,11544
7.7,10499
8.1,91821
7.3,12963
7.6,12577
7.7,14957
6.7,23008
8.0,65905
8.4,11774
7.0,15367
7.7,37195
7.8,97173
5.2,25686
8.1,153355
7.8,63521
7.6,22558
7.2,28044
8.0,243669
7.8,36274
7.0,32901
7.4,10515
7.9,22624
8.0,62736
7.6,156610
7.9,17455
7.4,17252
8.1,41139
7.7,14702
7.5,11310
7.8,26059
7.2,12362
6.9,91201
8.3,564767
7.2,10957
7.7,10984
5.9,30161
8.5,12251
7.4,56982
6.9,38709
6.5,14672
7.4,17478
7.7,12807
5.8,11552
7.9,27661
7.9,109163
7.7,29913
7.4,32570
7.6,35779
8.0,159182
7.6,47523
7.6,28061
8.0,178800
8.1,11041
7.2,10975
7.0,21106
7.7,16810
7.4,23362
7.5,20778
6.6,11594
8.8,63002
7.6,14596
7.8,27827
8.1,11242
8.2,18725
7.0,19677
8.0,193125
8.5,282834
7.3,93643
7.3,14293
7.1,12613
7.3,38738
7.9,17357
6.5,13289
7.8,94484
6.7,74527
6.6,11552
6.9,13960
7.3,26802
7.9,15231
6.3,15639
7.4,40014
7.0,22164
7.2,16424
7.7,48923
7.9,74022
8.3,22120
6.6,16440
7.1,86955
6.1,39945
7.2,20931
8.0,19985
8.0,24465
7.5,31196
7.9,10102
3.3,16349
7.6,42814
7.6,31303
6.9,28121
7.5,64731
7.9,90142
7.7,11268
6.7,45786
7.5,30224
8.2,15243
7.0,13792
8.3,13188
7.1,12671
8.8,24338
7.6,27846
7.2,31382
7.0,32469
7.1,32132
7.2,14690
7.2,10442
7.0,10425
8.3,714935
7.8,12461
6.6,89456
7.7,135531
7.6,58873
6.3,30314
8.0,36571
7.7,102893
7.4,27160
7.7,27689
7.9,67283
7.9,14638
7.1,20304
8.0,39162
7.5,18088
7.4,11890
7.7,20516
7.4,17322
6.5,27390
7.1,14925
7.0,23989
6.6,15524
6.7,25312
7.5,53561
7.1,22819
7.5,23734
7.2,10607
7.2,25430
7.6,21462
7.8,167467
8.4,48002
7.3,13265
8.0,48588
7.8,45393
7.9,34997
6.1,28717
7.4,12409
7.7,93738
6.8,36622
7.4,38449
6.3,10476
7.4,26049
9.2,1504320
7.5,46845
7.6,26844
7.4,24045
6.5,15646
6.0,30714
6.9,11681
7.3,29733
6.1,20741
7.6,23533
7.1,38814
7.4,10785
6.9,11587
8.0,42857
8.1,73536
8.1,27139
7.7,18038
7.5,10020
7.4,77106
7.4,11182
7.8,60791
5.5,27550
7.5,10139
6.1,10272
6.3,20839
7.8,35357
7.3,45344
6.9,15961
7.7,91480
7.9,15564
8.0,344874
7.2,11041
7.5,21796
8.4,13994
7.4,23793
7.5,20740
6.7,11420
6.8,90556
7.6,23548
7.2,52876
7.3,91302
8.0,18551
8.1,39279
8.0,115892
7.3,16987
7.8,21960
7.6,108192
7.3,14433
8.4,14111
7.7,100982
6.9,14027
7.2,38375
7.1,54104
8.3,228036
7.0,46651
7.1,20895
7.0,48427
7.5,62843
5.9,18211
7.4,14879
7.4,15277
9.2,19949
7.3,19910
7.9,36814
8.1,17188
7.2,30235
7.7,119345
7.5,17080
8.2,275493
7.8,90355
7.0,33316
8.3,21874
5.9,12972
7.9,13150
7.3,11493
9.0,1053458
6.4,22550
7.9,33303
7.8,15449
7.6,13572
7.1,16070
6.8,89452
8.2,476563
7.3,51662
6.7,10491
7.1,13834
7.4,15259
7.1,23536
6.8,14380
7.7,24589
7.5,126961
7.2,14704
7.1,20879
6.9,36855
8.2,19102
8.0,136615
8.1,34877
8.7,79535
8.1,40611
8.1,138207
6.5,15729
8.4,10572
6.2,23245
8.0,223943
7.7,14022
6.4,16512
7.8,13721
8.5,12045
6.8,15709
7.6,11200
8.2,10277
8.0,522206
7.7,33862
7.8,41954
7.7,21938
7.1,10833
8.7,861341
7.5,31384
